Álbum,Canción,Colaboraciones,Duración,Escuchas
MOTOMAMI,HENTAI,ROSALÍA,2:42,73.079.383
MOTOMAMI,BIZCOCHITO,ROSALÍA,1:49,262.752.186
MOTOMAMI,G3 N15,ROSALÍA,4:12,46.868.385
MOTOMAMI,MOTOMAMI,ROSALÍA,1:01,79.189.906
MOTOMAMI,DIABLO,ROSALÍA,2:45,63.059.668
MOTOMAMI,DELIRIO DE GRANDEZA,ROSALÍA,2:35,44.541.258
MOTOMAMI,CUUUUuuuuuute,ROSALÍA,2:30,38.908.903
MOTOMAMI,COMO UN G,ROSALÍA,4:22,75.835.267
MOTOMAMI,Abcdefg,ROSALÍA,1:05,27.420.937
MOTOMAMI,LA COMBI VERSACE,"ROSALÍA, Tokischa",2:40,158.520.711
MOTOMAMI,SAKURA,ROSALÍA,3:21,32.266.054
Linda,Linda,"Tokischa, ROSALÍA",2:24,198.809.193
Lo Vas A Olvidar (with ROSALÍA),Lo Vas A Olvidar (with ROSALÍA),"Billie Eilish, ROSALÍA",3:23,185.209.220
Blinding Lights (Remix),Blinding Lights (with ROSALÍA) - Remix,"The Weeknd, ROSALÍA",3:36,73.567.745
TKN (feat. Travis Scott),TKN (feat. Travis Scott),"ROSALÍA, Travis Scott",2:09,503.930.637
Dolerme,Dolerme,ROSALÍA,2:23,71.394.141
Juro Que,Juro Que,ROSALÍA,2:50,50.583.674
A Palé,A Palé,ROSALÍA,2:23,77.252.026
"Yo x Ti, Tu x Mi","Yo x Ti, Tu x Mi","ROSALÍA, Ozuna",3:21,682.013.116
Fucking Money Man,Milionària,ROSALÍA,2:18,91.747.155
Fucking Money Man,Dio$ No$ Libre Del Dinero,ROSALÍA,1:48,39.687.978
Aute Cuture,Aute Cuture,ROSALÍA,2:27,108.693.888
Con Altura,Con Altura,"ROSALÍA, J Balvin, El Guincho",2:41,855.017.652
El Mal Querer,MALAMENTE - Cap.1: Augurio,ROSALÍA,2:30,336.385.139
El Mal Querer,QUE NO SALGA LA LUNA - Cap.2: Boda,ROSALÍA,4:29,54.590.827
El Mal Querer,PIENSO EN TU MIRÁ - Cap.3: Celos,ROSALÍA,3:13,182.892.091
El Mal Querer,DE AQUÍ NO SALES - Cap.4: Disputa,ROSALÍA,2:24,37.935.155
El Mal Querer,RENIEGO - Cap.5: Lamento,ROSALÍA,3:28,23.887.813
El Mal Querer,PRESO - Cap.6: Clausura,ROSALÍA,0:40,19.821.949
El Mal Querer,BAGDAD - Cap.7: Liturgia,ROSALÍA,3:02,114.754.756
El Mal Querer,DI MI NOMBRE - Cap.8: Éxtasis,ROSALÍA,2:42,134.127.840
El Mal Querer,NANA - Cap.9: Concepción,ROSALÍA,3:17,24.031.802
El Mal Querer,MALDICIÓN - Cap.10: Cordura,ROSALÍA,2:55,26.012.407
El Mal Querer,A NINGÚN HOMBRE - Cap.11: Poder,ROSALÍA,1:34,43.233.392
PIENSO EN TU MIRÁ (Cap.3: Celos),PIENSO EN TU MIRÁ - Cap.3: Celos,ROSALÍA,3:13,182.892.091
MALAMENTE (Cap.1: Augurio),MALAMENTE - Cap.1: Augurio,ROSALÍA,2:29,336.385.139
